id,zipcode,city,state,latitude,longitude
19509,54630,galesville,wi,44.087365999999996,-91.35965
19510,54631,gays mills,wi,43.31748,-90.84485
19511,54632,genoa,wi,43.57664000000001,-91.2243
19512,54743,gilmanton,wi,44.311074,-91.80639599999999
19513,54013,glenwood city,wi,45.064609999999995,-92.18504
19515,54838,gordon,wi,46.24689,-91.79852
19517,54890,wascott,wi,46.525129,-91.921631
19518,54839,grand view,wi,46.3577,-91.1075
19519,54840,grantsburg,wi,45.77634000000001,-92.6827
19520,54014,hager city,wi,44.626915000000004,-92.54799999999999
19521,54015,hammond,wi,44.957487,-92.44589
19522,54818,brill,wi,45.423409,-91.848206
19523,54841,haugen,wi,45.60884,-91.77489
19524,54842,hawthorne,wi,46.503,-91.86075
19525,54843,hayward,wi,46.01301,-91.48462
19528,54844,herbster,wi,46.83243,-91.26102
19529,54846,high bridge,wi,46.3796,-90.7383
19532,54855,marengo,wi,46.42245,-90.81685
19533,54634,hillsboro,wi,43.6522,-90.34402
19536,54635,hixton,wi,44.400995,-91.04608
19538,54745,holcombe,wi,45.25310800000001,-91.1559
19539,54636,holmen,wi,43.978815999999995,-91.2512
19540,54016,hudson,wi,44.978518,-92.71996
19541,54082,saint joseph,wi,45.068411,-92.74248
19545,54746,humbird,wi,44.52913,-90.88931
19546,54747,independence,wi,44.35691,-91.42043
19547,54847,iron river,wi,46.56439,-91.40825
19548,54748,jim falls,wi,45.074725,-91.2563
19549,54638,kendall,wi,43.79219000000001,-90.36846
19550,54749,knapp,wi,44.95524,-92.07546
19551,54601,la crosse,wi,43.797115999999995,-91.21141
19552,54602,la crosse,wi,43.907739,-91.167621
19553,54603,la crosse,wi,43.848665000000004,-91.24922
19554,54848,ladysmith,wi,45.477445,-91.105
19555,54639,la farge,wi,43.5747,-90.64041
19557,54849,lake nebagamon,wi,46.51494,-91.69991
19559,54850,la pointe,wi,46.799834999999995,-90.73209
19560,54853,luck,wi,45.577963000000004,-92.45652
19561,54750,maiden rock,wi,44.5608,-92.30963
19562,54854,maple,wi,46.626518,-91.6952
19563,54816,benoit,wi,46.682796,-91.143254
19565,54856,mason,wi,46.43523,-91.05991
19567,54641,mather,wi,43.945209999999996,-90.04948900000002
19568,54642,melrose,wi,44.13052,-90.9982
19569,54751,menomonie,wi,44.86877,-91.92915
19570,54754,merrillan,wi,44.45107,-90.84126
19571,54643,millston,wi,44.186869,-90.63583100000001
19572,54858,milltown,wi,45.52607,-92.50853
19573,54644,mindoro,wi,44.029269,-91.06484
19574,54859,minong,wi,46.09939,-91.82491
19575,54755,mondovi,wi,44.56774,-91.67099
19577,54764,rock falls,wi,44.946496,-91.90344
19579,54645,mount sterling,wi,43.31526,-90.92874
19581,54646,necedah,wi,44.02608,-90.07402
19582,54756,nelson,wi,44.42024,-92.00822
19583,54757,new auburn,wi,45.235611,-91.52127
19584,54017,new richmond,wi,45.12302,-92.53659
19585,54648,norwalk,wi,43.83052,-90.62152
19586,54649,oakdale,wi,43.971514,-90.361161
19587,54861,odanah,wi,46.60828,-90.69685
19588,54650,onalaska,wi,43.899664,-91.22963
19589,54651,ontario,wi,43.7258,-90.59152
19590,54020,osceola,wi,45.32052,-92.70493
19591,54758,osseo,wi,44.555876,-91.21713000000001
19592,54759,pepin,wi,44.44108,-92.14795
19593,54760,pigeon falls,wi,44.42635,-91.21044
19594,54761,plum city,wi,44.62913,-92.1924
19595,54864,poplar,wi,46.58383,-91.79908
19596,54865,port wing,wi,46.757191999999996,-91.39611
19597,54762,prairie farm,wi,45.23718,-91.98157
19598,54021,prescott,wi,44.752662,-92.77958000000001
19599,54867,radisson,wi,45.76885,-91.22127
19600,54652,readstown,wi,43.44942,-90.7593
19601,54868,rice lake,wi,45.50607,-91.73823
19603,54763,ridgeland,wi,45.186997,-91.88073
19604,54022,river falls,wi,44.86136,-92.62381
19605,54023,roberts,wi,44.98386,-92.55603
19606,54653,rockland,wi,43.90636,-90.9193
19607,54024,saint croix falls,wi,45.40996,-92.63965
19609,54765,sand creek,wi,45.142866,-91.699794
19610,54870,sarona,wi,45.71106,-91.80656
19611,54654,seneca,wi,43.26498,-90.95846
19612,54766,sheldon,wi,45.31053,-90.95597
19613,54845,hertel,wi,45.811685,-92.13691999999999
19614,54871,shell lake,wi,45.750367,-91.99048
19615,54872,siren,wi,45.78578,-92.38103
19616,54655,soldiers grove,wi,43.3919,-90.7663
19618,54873,solon springs,wi,46.35327,-91.82241
19621,54025,somerset,wi,45.12441,-92.67354
19622,54874,south range,wi,46.5688,-91.9352
19624,54620,cataract,wi,44.08774,-90.84236
19625,54656,sparta,wi,43.94413,-90.81291
19627,54801,spooner,wi,45.82245,-91.88934
19628,54875,springbrook,wi,45.947509000000004,-91.67526
19629,54767,spring valley,wi,44.84524,-92.2388
19630,54768,stanley,wi,44.95997,-90.93708
19631,54026,star prairie,wi,45.19691,-92.53075
19632,54769,stockholm,wi,44.4833,-92.26212
19633,54658,stoddard,wi,43.68804,-91.19665
19634,54876,stone lake,wi,45.84551,-91.54045
19635,54770,strum,wi,44.54969000000001,-91.39266
19636,54836,foxboro,wi,46.49855,-92.28797
19637,54880,superior,wi,46.684273,-92.09474
19639,54659,taylor,wi,44.32107,-91.11988
19640,54771,thorp,wi,44.96108,-90.79986
19641,54660,tomah,wi,43.97858,-90.50402
19643,54888,trego,wi,45.89967,-91.82101
19644,54661,trempealeau,wi,44.00552,-91.44209
19645,54662,tunnel city,wi,44.00719,-90.56569
19646,54889,turtle lake,wi,45.3944,-92.14241
19647,54664,viola,wi,43.502238,-90.65131
19648,54665,viroqua,wi,43.543934,-90.89904
19649,54666,warrens,wi,44.13107,-90.49985
19650,54891,washburn,wi,46.67327,-90.89491
19651,54893,webster,wi,45.87745,-92.36742
19652,54667,westby,wi,43.65692,-90.8543
19653,54669,west salem,wi,43.89913,-91.08125
19654,54895,weyerhaeuser,wi,45.42357,-91.40849
19655,54772,wheeler,wi,45.04441,-91.90879
19656,54773,whitehall,wi,44.377781,-91.30948000000001
19657,54027,wilson,wi,44.95358,-92.17352
19658,54670,wilton,wi,43.81358,-90.52791
19659,54862,ojibwa,wi,45.7854,-91.1109
19660,54896,winter,wi,45.81968,-91.01183
19662,54028,woodville,wi,44.944206,-92.27960999999999
44467,46102,advance,in,39.99588,-86.62
44468,46910,akron,in,41.03838,-86.02805
44469,47916,alamo,in,39.98199,-87.05723
44470,47320,albany,in,40.290746999999996,-85.25293
44471,46701,albion,in,41.3956,-85.42442
44472,46001,alexandria,in,40.26282,-85.67581
44473,47917,ambia,in,40.49004,-87.51696
44474,46911,amboy,in,40.60143,-85.92888
44475,46103,amo,in,39.6881,-86.61361
44476,46011,anderson,in,40.112913,-85.73700000000002
44482,46012,anderson,in,40.132892,-85.65097
44483,46013,anderson,in,40.061091999999995,-85.67671999999997
44484,46014,anderson,in,40.161733,-85.719659
44485,46015,anderson,in,40.093792,-85.657825
44486,46016,anderson,in,40.10532,-85.68025
44487,46017,anderson,in,40.10532,-85.68025
44489,46018,anderson,in,40.161733,-85.719659
44490,46702,andrews,in,40.86254,-85.60165
44491,46703,angola,in,41.656797999999995,-85.0223
44492,46030,arcadia,in,40.17587,-86.02165
44493,46704,arcola,in,41.10366,-85.29414
44494,46501,argos,in,41.224036,-86.24521
44495,46104,arlington,in,39.64255,-85.57636
44496,46705,ashley,in,41.5262,-85.06678000000002
44497,46912,athens,in,41.040988,-86.206925
44498,46031,atlanta,in,40.21532,-86.02637
44499,47918,attica,in,40.2811,-87.2241
44500,46502,atwood,in,41.26088,-85.97527
44501,46706,auburn,in,41.358999999999995,-85.0468
44502,46710,avilla,in,41.36588,-85.23886
44503,47420,avoca,in,38.91199,-86.54777
44504,46105,bainbridge,in,39.76116,-86.81195
44505,46106,bargersville,in,39.52088,-86.16776999999998
44506,47920,battle ground,in,40.50837,-86.84168000000004
44507,47421,bedford,in,38.86116,-86.48721
44509,46107,beech grove,in,39.72199000000001,-86.08998000000004
44510,47322,bentonville,in,39.656994,-85.167996
44511,46711,berne,in,40.65782,-84.95191
44513,46769,linn grove,in,40.74532,-84.937926
44515,46301,beverly shores,in,41.69254,-86.97753
44517,47512,bicknell,in,38.77421,-87.30779
44518,47573,ragsdale,in,38.74588,-87.32502
44519,46713,bippus,in,40.829196,-85.489198
44520,47513,birdseye,in,38.31672,-86.69582
44521,47580,schnellville,in,38.34117,-86.7561
44522,47831,blanford,in,39.877846999999996,-87.443566
44523,47424,bloomfield,in,39.02699000000001,-86.93751
44524,47832,bloomingdale,in,39.83337,-87.24974
44525,47401,bloomington,in,39.16532,-86.52639
44526,47402,bloomington,in,39.173234,-86.501543
44527,47403,bloomington,in,39.121719,-86.57409
44528,47404,bloomington,in,39.16532,-86.52639
44529,47405,bloomington,in,39.173446999999996,-86.51514499999998
44530,47406,bloomington,in,39.173596999999994,-86.51675999999998
44531,47407,bloomington,in,39.173234,-86.501543
44532,47408,bloomington,in,39.16532,-86.52639
44534,47464,stinesville,in,39.29866,-86.65222
44535,46714,bluffton,in,40.73866,-85.17164
44536,46110,boggstown,in,39.5631,-85.91637
44537,46302,boone grove,in,41.35476,-87.12947
44538,47324,boston,in,39.757864,-84.848442
44539,47921,boswell,in,40.52115,-87.37835
44540,46504,bourbon,in,41.2956,-86.11639
44541,47833,bowling green,in,39.3831,-87.01168
44542,47834,brazil,in,39.52365,-87.12501999999998
44543,46506,bremen,in,41.44644,-86.14806
44544,47836,bridgeton,in,39.64504,-87.17751
44545,46913,bringhurst,in,40.5163,-86.5204
44546,46507,bristol,in,41.72144,-85.81749
44547,47515,bristow,in,38.14006,-86.72166
44549,47922,brook,in,40.86643,-87.36364
44550,46111,brooklyn,in,39.53921,-86.36916
44551,47923,brookston,in,40.60281,-86.86723
44552,46112,brownsburg,in,39.84952,-86.38739
44553,47220,brownstown,in,38.87894,-86.04191999999998
44554,47325,brownsville,in,39.6845,-84.9881
44555,47516,bruceville,in,38.75949,-87.41557
44556,47326,bryant,in,40.53338,-84.96386
44557,47924,buck creek,in,40.48781,-86.7614
44558,47925,buffalo,in,40.88254000000001,-86.74529
44559,46914,bunker hill,in,40.66032,-86.10276999999998
44560,46508,burket,in,41.15532,-85.96861
44561,46915,burlington,in,40.4777,-86.3866
44562,47926,burnettsville,in,40.76115,-86.59362
44563,46916,burrows,in,40.584272,-86.573952
44564,46721,butler,in,41.42977,-84.87135
44565,47223,butlerville,in,39.049336,-85.49271999999998
44568,47327,cambridge city,in,39.81255,-85.17163000000002
44570,46113,camby,in,39.631344,-86.31273
44571,46917,camden,in,40.60865,-86.54
44572,47224,canaan,in,38.86672,-85.29579
44573,47519,cannelburg,in,38.66977,-86.99834
44574,47514,branchville,in,38.16367,-86.57970999999998
44575,47520,cannelton,in,37.91144,-86.74443000000002
44580,47574,rome,in,37.92339000000001,-86.52359
44581,47576,saint croix,in,38.19297,-86.60853
44582,47837,carbon,in,39.59782,-87.11863000000002
44583,47838,carlisle,in,38.96838,-87.40557
44584,46032,carmel,in,39.97837,-86.11804000000002
44585,46033,carmel,in,39.973731,-86.08875
44586,46082,carmel,in,40.072462,-86.052285
44587,46115,carthage,in,39.73838,-85.57191999999998
44588,47928,cayuga,in,39.94865,-87.45974
44589,46303,cedar lake,in,41.36476,-87.44115
44590,47521,celestine,in,38.38478,-86.77916
44591,47840,centerpoint,in,39.391,-87.0935
44593,47330,centerville,in,39.802089,-85.00994
44594,47929,chalmers,in,40.66309,-86.86946
44595,46117,charlottesville,in,39.79032,-85.61275
44597,46304,chesterton,in,41.61059,-87.0642
44601,46723,churubusco,in,41.2306,-85.31942
44602,46034,cicero,in,40.127019,-86.03121
44604,47225,clarksburg,in,39.424071999999995,-85.347677
44605,47930,clarks hill,in,40.24698,-86.72501
44606,47841,clay city,in,39.27671,-87.11279
44607,46510,claypool,in,41.12921,-85.88055
44608,46118,clayton,in,39.68921,-86.5225
44609,47426,clear creek,in,39.173234,-86.501543
44610,47226,clifford,in,39.28227,-85.86916
44611,47842,clinton,in,39.65698,-87.39806999999998
44612,46120,cloverdale,in,39.51477,-86.7939
44613,47427,coal city,in,39.23032,-87.04584
44614,47845,coalmont,in,39.387544,-87.090363
44615,46121,coatesville,in,39.68782,-86.67028
44616,46035,colfax,in,40.19504000000001,-86.66723
44617,46725,columbia city,in,41.166034,-85.48313
44618,47201,columbus,in,39.20144000000001,-85.92138
44619,47202,columbus,in,39.192972,-85.88516800000002
44620,47203,columbus,in,39.20144000000001,-85.92138
44621,47227,commiskey,in,38.8595,-85.64551999999998
44622,47331,connersville,in,39.64116,-85.14107
44623,46919,converse,in,40.57754,-85.87331999999998
44624,47228,cortland,in,38.97311,-85.96415
44625,46730,corunna,in,41.43727,-85.14719000000002
44626,47846,cory,in,39.38226,-87.20585
44627,47932,covington,in,40.1326,-87.3819
44628,46731,craigville,in,40.793562,-85.0974
44629,47522,crane,in,38.89116,-86.90389
44632,47933,crawfordsville,in,40.034554,-86.89143
44634,47934,crawfordsville,in,40.040014,-86.893614
44636,47935,crawfordsville,in,40.040014,-86.893614
44638,47936,crawfordsville,in,40.040014,-86.893614
44640,47937,crawfordsville,in,40.040014,-86.893614
44642,47938,crawfordsville,in,40.040014,-86.893614
44644,47939,crawfordsville,in,40.040014,-86.893614
44646,46732,cromwell,in,41.4006,-85.61582
44647,47229,crothersville,in,38.80061,-85.84164
44648,46307,crown point,in,41.418873,-87.34298000000004
44649,46308,crown point,in,41.461543,-87.37277900000002
44650,46511,culver,in,41.21893,-86.42305999999998
44653,46920,cutler,in,40.472125,-86.47780999999998
44654,47523,dale,in,38.16894,-86.99
44655,47334,daleville,in,40.117139,-85.54205
44656,47847,dana,in,39.830942,-87.47013000000004
44657,46122,danville,in,39.7606,-86.52639
44658,46123,avon,in,39.76282,-86.39972
44659,47940,darlington,in,40.11004000000001,-86.77195
44660,47941,dayton,in,40.3742,-86.7689
44661,46733,decatur,in,40.8306,-84.92913
44662,47524,decker,in,38.507039,-87.55539
44663,46921,deedsville,in,40.91032,-86.10110999999998
44664,46922,delong,in,41.040988,-86.206925
44665,46923,delphi,in,40.58754,-86.67501
44666,46310,demotte,in,41.179017,-87.24265
